title,channel,upload_date,url
Students escorted out of high school after shooting,CNN,2024-09-04T21:18:32Z,https://www.youtube.com/watch?v=AUiWROq6RMA
Rape survivor shares her story at DNC,CNN,2024-08-20T12:15:32Z,https://www.youtube.com/watch?v=zozyrmoOkkI
Students describe deadly shooting inside Apalachee High School,CNN,2024-09-04T23:32:20Z,https://www.youtube.com/watch?v=2YFJO-zLaes
Kamala Harris lays out her economic plan in major policy speech,CNN,2024-08-16T20:00:28Z,https://www.youtube.com/watch?v=VXJEKJmRMEk
2024 campaign heats up as Harris unveils economic plan,CNN,2024-08-17T00:21:41Z,https://www.youtube.com/watch?v=vBj1uxGAszA
