title,channel,upload_date,url
Trump praises his own rambling as part of brilliant strategy called &#39;the weave&#39;,MS NOW,2024-09-03T12:01:55Z,https://www.youtube.com/watch?v=QrZXhNKHUGw
Trump travels with far-right activist Laura Loomer,MS NOW,2024-09-16T22:21:39Z,https://www.youtube.com/watch?v=e8fskJwwIdo
Trump admits he lost the 2020 presidential election,MS NOW,2024-09-04T11:18:50Z,https://www.youtube.com/watch?v=Beg9NUOhZTE
Trump claims Arlington cemetery incident was a &#39;setup&#39;,MS NOW,2024-08-30T03:36:35Z,https://www.youtube.com/watch?v=r4hnGwyfE_c
Lawrence on Trump&#39;s Taylor Swift attack: &#39;The most hateful mind&#39; in presidential history,MS NOW,2024-09-17T04:05:41Z,https://www.youtube.com/watch?v=Mwd9VWTNSE8
‘She spanked his a**’: Harris ‘owns’ Donald Trump in first debate,MS NOW,2024-09-11T07:17:11Z,https://www.youtube.com/watch?v=g5fYZSNYKz8
Gov. Josh Shapiro: Trump &#39;failed the test&#39; as president before,MS NOW,2024-09-06T06:13:38Z,https://www.youtube.com/watch?v=uOcMcv8wqdQ
Harris and Trump meet for first time,MS NOW,2024-09-11T01:22:39Z,https://www.youtube.com/watch?v=yftACd_hE0o
Trump&#39;s &#39;emotional support cougars&#39; to blame for Harris just meeting Donald Trump,MS NOW,2024-09-05T23:30:08Z,https://www.youtube.com/watch?v=L6rWX1tjS8Q
Donald Trump chases politics and stabs evangelical supporters in the back,MS NOW,2024-08-31T03:01:12Z,https://www.youtube.com/watch?v=hw55Yyj2IAc
WATCH: Body cam shows suspect&#39;s arrest in apparent Trump assassination attempt,MS NOW,2024-09-17T01:15:03Z,https://www.youtube.com/watch?v=Iw5e0QKRRTo
"Rep. Jasmine Crockett on debate: If Trump shows up, ‘he is about to get his butt handed to him’",MS NOW,2024-08-26T21:15:02Z,https://www.youtube.com/watch?v=NTbjX3LjVeA
&#39;Absolutely desperate&#39;: Joe on Trump &#39;moving all over the place&#39; on issues,MS NOW,2024-09-03T18:19:37Z,https://www.youtube.com/watch?v=h-k9O-dLXZc
Harris gets Beyoncé&#39;s blessing while musicians diss Trump who&#39;s &#39;hateful and angry&#39;,MS NOW,2024-08-15T04:00:25Z,https://www.youtube.com/watch?v=m-QErmrmZdk
Dems follow Harris&#39; lead to get under Donald Trump&#39;s skin,MS NOW,2024-09-24T04:50:02Z,https://www.youtube.com/watch?v=lDXqD4N_v6s
Velshi: It’s not the internet. It’s Donald Trump.,MS NOW,2024-09-14T03:38:14Z,https://www.youtube.com/watch?v=PTPGK8vDOzQ
Maddow on Trump spinning &#39;on his own behalf&#39; after debate,MS NOW,2024-09-11T05:26:01Z,https://www.youtube.com/watch?v=puRNfpohuUc
George Conway: Trump&#39;s pre-election denialism signals &#39;final implosion&#39;,MS NOW,2024-08-12T15:22:38Z,https://www.youtube.com/watch?v=3JgJFq23pnE
Former Trump aide: &#39;He mocks his supporters&#39;,MS NOW,2024-08-21T03:34:32Z,https://www.youtube.com/watch?v=ECD3d6otO2o
Poll: Harris ahead of Trump in these three crucial battleground states,MS NOW,2024-09-19T14:56:00Z,https://www.youtube.com/watch?v=b7W1NNc9UrI
"Joe slams Trump&#39;s debate performance: &#39;unhinged,&#39; &#39;disconnected from reality&#39;",MS NOW,2024-09-11T15:58:19Z,https://www.youtube.com/watch?v=An-4D0Xf858
Trump reminiscent… of ALF?,MS NOW,2024-09-13T02:30:49Z,https://www.youtube.com/watch?v=o88NWbpKSpU
Donald Trump&#39;s dangerous rhetoric,MS NOW,2024-09-14T19:25:20Z,https://www.youtube.com/watch?v=g5ZzXoDzZkc
Biden: &#39;I was confident I would beat Trump&#39;,MS NOW,2024-09-25T18:32:40Z,https://www.youtube.com/watch?v=YmPLjB5sp_Q
Harris v. Trump: MSNBC analysis from the presidential debate hosted by ABC News,MS NOW,2024-09-11T13:00:45Z,https://www.youtube.com/watch?v=ceVV5rwV4L4
The upside of Trump&#39;s delayed sentencing: &quot;You can think about jail&quot;,MS NOW,2024-09-09T22:47:44Z,https://www.youtube.com/watch?v=sCTrY_98jz4
Trump makes excuses to get out of second debate,MS NOW,2024-09-22T21:29:19Z,https://www.youtube.com/watch?v=JucgYpQKIP0
Michael Steele: ‘There was a reason you fired Donald Trump in 2020. Remember that reason&#39;,MS NOW,2024-09-15T19:20:22Z,https://www.youtube.com/watch?v=Xxy4KmRWB2w
"Rep. Crockett at DNC: &#39;Kamala Harris has a resume, Donald Trump has a rap sheet&#39;",MS NOW,2024-08-20T03:30:40Z,https://www.youtube.com/watch?v=xoK8C7fgQcY
"Exonerated Five on Trump: ‘He has never changed, and he never will’",MS NOW,2024-08-23T00:50:28Z,https://www.youtube.com/watch?v=rqy77RbJHLk
‘Getting under Donald Trump’s skin’: Harris-Walz make pitch to Georgia voters,MS NOW,2024-08-29T14:37:10Z,https://www.youtube.com/watch?v=8k9HpE-FA0M
Joe calls out Trump for being &#39;ill equipped to talk about policy&#39; ahead of debate,MS NOW,2024-09-10T17:24:39Z,https://www.youtube.com/watch?v=KLOIY9gKmps
The problem isn&#39;t the Trump campaign – it&#39;s Donald Trump: Bush aide,MS NOW,2024-09-12T15:09:40Z,https://www.youtube.com/watch?v=uWpB33q6acc
‘She ate him for lunch’: Donald Trump rattled by VP Harris as even Fox News blast his performance,MS NOW,2024-09-11T20:49:41Z,https://www.youtube.com/watch?v=_EjkJ6_8qu8
"Motive of Trump shooter still unknown, FBI says",MS NOW,2024-08-29T15:33:54Z,https://www.youtube.com/watch?v=Fwr85-fIfxg
"Vance: Trump would veto abortion ban, AG Nessel reacts and highlights Harris&#39; abortion rights plan",MS NOW,2024-08-25T18:22:55Z,https://www.youtube.com/watch?v=ja4OQGbZrZA
‘A gaslighting performance for the ages’: Donald Trump tells women that he is their &#39;protector&#39;,MS NOW,2024-09-24T20:51:51Z,https://www.youtube.com/watch?v=g5rRhMPNsrM
&#39;Donald Trump has been getting embarrassed over and over again&#39;,MS NOW,2024-09-04T04:55:29Z,https://www.youtube.com/watch?v=d0Seil6-RsY
Full press conference on what FBI calls apparent Trump assassination attempt,MS NOW,2024-09-15T21:42:11Z,https://www.youtube.com/watch?v=Vk0Z34QWupM
Donald Trump is ‘just a terrible candidate’ in contrast with Harris,MS NOW,2024-08-15T15:08:31Z,https://www.youtube.com/watch?v=ARbv6foYLh0
Donald Trump and Elon Musk’s rambling softball interview embody a campaign in disarray,MS NOW,2024-08-13T20:52:04Z,https://www.youtube.com/watch?v=ZPA9oRt8UBU
&#39;Desecrated by Donald Trump&#39;: Widow of former marine calls out Trump’s Arlington photo-op,MS NOW,2024-09-01T18:01:08Z,https://www.youtube.com/watch?v=pzFD9KtrHZE
Joy Reid to Nicolle Wallace: &#39;Donald Trump wants to never let black and brown folk up off the mat&#39;,MS NOW,2024-09-13T21:48:05Z,https://www.youtube.com/watch?v=0xeyEls0vpY
"‘Losing his edge’: Why Donald Trump’s ‘strongest’ issue the economy, is starting to fall flat",MS NOW,2024-09-25T21:41:36Z,https://www.youtube.com/watch?v=-mjySY8wHfA
Voters ditching Trump for &#39;younger&#39; Harris? See Comic D.L. Hughley absolutely roast Trump on TV,MS NOW,2024-09-03T23:56:05Z,https://www.youtube.com/watch?v=1jOvJ53LNqk
"While losing the debate, Trump also lost Republican control of the &#39;family values&#39; narrative",MS NOW,2024-09-12T04:00:10Z,https://www.youtube.com/watch?v=M2HhZoDHEPo
"Mika Brzezinski: Harris &#39;elegant and classy,&#39; as Trump &#39;lost it&#39; at debate",MS NOW,2024-09-11T14:50:44Z,https://www.youtube.com/watch?v=oA9fShH_m60
Harris: Trump only intends to improve life for &#39;people like himself&#39;,MS NOW,2024-09-25T21:15:41Z,https://www.youtube.com/watch?v=Ev-YQjyXekQ
More details emerging on suspect in apparent second assassination attempt on Trump,MS NOW,2024-09-16T14:50:35Z,https://www.youtube.com/watch?v=RZUI5xkfeU8
Jack Smith files superseding indictment in Donald Trump’s federal January 6th case,MS NOW,2024-08-27T21:05:22Z,https://www.youtube.com/watch?v=tIBhrLsEqt0
&#39;Divine intervention&#39;: Evangelical support for Trump reinforced after assassination attempt,MS NOW,2024-08-14T17:00:54Z,https://www.youtube.com/watch?v=j_ICaoJsWzs
DOJ has &#39;no intention of backing off&#39; of Trump&#39;s election interference case,MS NOW,2024-08-28T15:11:45Z,https://www.youtube.com/watch?v=wzlYz0sZiWE
Pelosi describes Donald Trump&#39;s first day cold dose of reality,MS NOW,2024-08-14T04:18:49Z,https://www.youtube.com/watch?v=o6BQKMnaguM
Republicans look to manipulate Electoral College for Trump ahead of election,MS NOW,2024-09-20T06:06:12Z,https://www.youtube.com/watch?v=__eg_IH26nw
AOC hammers Trump on DNC stage,MS NOW,2024-08-20T03:44:52Z,https://www.youtube.com/watch?v=zjTBkp_Vhvk
Apparent attempt on Trump&#39;s life evokes memories of past political turmoil,MS NOW,2024-09-16T18:27:54Z,https://www.youtube.com/watch?v=1nksPfB6wOA
Middle class ‘wants to see the contrast’ between Harris and Trump at first debate: Rep. Crockett,MS NOW,2024-08-31T19:25:50Z,https://www.youtube.com/watch?v=_Pf7JjHUPcg
Kamala HQ calls Trump a chicken,MS NOW,2024-08-27T01:20:47Z,https://www.youtube.com/watch?v=s4IdtNTAVN4
Republicans slam Trump at DNC; Trump fear-mongers about migrants in speech,MS NOW,2024-08-21T11:46:44Z,https://www.youtube.com/watch?v=0zqM3CaGrw8
"‘Hook, line and sinker’: Donald Trump takes the bait from VP Kamala Harris, unravels before America",MS NOW,2024-09-11T20:47:56Z,https://www.youtube.com/watch?v=amjHatrpquo
Nicolle Wallace on Trump using DOJ against his enemies: ‘He’s not hiding it anymore&#39;,MS NOW,2024-09-03T22:11:30Z,https://www.youtube.com/watch?v=DebX6vVqnt4
How the Harris campaign is taking on Trump’s Project 2025,MS NOW,2024-09-01T17:58:44Z,https://www.youtube.com/watch?v=BPKEu3Eeu9M
"Joe: Once again, Trump undermines the greatness of America",MS NOW,2024-08-16T11:05:01Z,https://www.youtube.com/watch?v=v5dttJQNzJA
Kamala Harris blames Donald Trump for abortion bans,MS NOW,2024-09-21T04:30:16Z,https://www.youtube.com/watch?v=lEqWlkS6CbQ
"&#39;Dangerous, divisive, terrifying&#39;: Harris to highlight dangers of a &#39;Trump 2.0 presidency&#39;",MS NOW,2024-09-09T18:40:59Z,https://www.youtube.com/watch?v=1u60VFbOEP4
What’s bothering Trump the most about the DNC,MS NOW,2024-08-26T00:28:10Z,https://www.youtube.com/watch?v=cpHiZGCwmYU
Harris: Trump &#39;not serious&#39; about economic issues,MS NOW,2024-09-25T22:35:49Z,https://www.youtube.com/watch?v=ZmsaRvZ1KKk
"Joe Scarborough: &quot;If GOP loses again, will they turn away from Trump?&quot;",MS NOW,2024-09-04T20:51:25Z,https://www.youtube.com/watch?v=vP6gDYjkKBU
Harris wants Americans to understand the ‘dangers of a Donald Trump 2.0 presidency’,MS NOW,2024-09-10T19:08:27Z,https://www.youtube.com/watch?v=uihFGnT1Z6g
"Trump is safe following possible gunshots in his vicinity, campaign says",MS NOW,2024-09-15T19:51:34Z,https://www.youtube.com/watch?v=AxuNuSYTsf4
&#39;Outraged and disgusted&#39;: Trump denigration of Medal of Honor ignites rage among veterans,MS NOW,2024-08-17T04:00:23Z,https://www.youtube.com/watch?v=1g7EHoaL6SI
Taint of Trump&#39;s legacy: January 6 gets special security designation to protect certification,MS NOW,2024-09-13T06:05:08Z,https://www.youtube.com/watch?v=FYr82_QvFTc
Trump campaign: Public service work isn’t a ‘real job’,MS NOW,2024-09-01T18:51:07Z,https://www.youtube.com/watch?v=T3RE1GxCHHg
Debunking Trump&#39;s big economic plan,MS NOW,2024-09-19T02:45:02Z,https://www.youtube.com/watch?v=M81HrKuv2II
Walz: Imagine Trump trying to run a McFlurry machine,MS NOW,2024-08-13T21:57:57Z,https://www.youtube.com/watch?v=wwTX72iZ3OE
"Trump campaign &#39;having a nervous breakdown in public&#39; after DNC, Stuart Stevens says",MS NOW,2024-08-24T03:29:45Z,https://www.youtube.com/watch?v=aOSaRRFDhps
Joy: Harris crowd sizes are &#39;breaking Trump&#39;s brain&#39;,MS NOW,2024-08-14T04:37:51Z,https://www.youtube.com/watch?v=xlbNESif504
Wagner: Where is the avalanche of coverage of Trump&#39;s cognitive decline?,MS NOW,2024-09-07T04:45:19Z,https://www.youtube.com/watch?v=u27s2JtSv-A
