"user-core-screen_name","created_at","full_text","url"
"realDonaldTrump","2024-09-01T20:07:44.000Z","https://t.co/FttUFOc2j1","https://x.com/realDonaldTrump/status/1830336761513533776"
"realDonaldTrump","2024-08-15T13:04:36.000Z","https://t.co/CaH0yXMO0k","https://x.com/realDonaldTrump/status/1824069681868669045"
"realDonaldTrump","2024-09-18T02:26:56.000Z","THANK YOU, MICHIGAN! #MAGA2024 https://t.co/MKj5E3ifs3","https://x.com/realDonaldTrump/status/1836230397375434767"
"realDonaldTrump","2024-09-01T00:48:08.000Z","Coral Doolittle, Mother of Corporal Humberto A. Sanchez… https://t.co/dz3UfvhVLB","https://x.com/realDonaldTrump/status/1830044938148442601"
"realDonaldTrump","2024-09-17T17:50:49.000Z","Your Automobile Insurance is up 73% — VOTE FOR TRUMP, I’LL CUT THAT NUMBER IN HALF!","https://x.com/realDonaldTrump/status/1836100511960818044"
"realDonaldTrump","2024-08-19T01:16:44.000Z","https://t.co/BI7RSbnojs","https://x.com/realDonaldTrump/status/1825341093094854989"
"realDonaldTrump","2024-08-29T00:14:42.000Z","https://t.co/jJ9wqsANyK","https://x.com/realDonaldTrump/status/1828949359448244304"
"realDonaldTrump","2024-09-07T02:59:12.000Z","I am so honored to receive the Fraternal Order of Police official endorsement for President of the United States. Thank you!","https://x.com/realDonaldTrump/status/1832252250355273855"
"realDonaldTrump","2024-08-27T17:26:27.000Z","You can make a BIG ELECTION IMPACT with a small time commitment! Join #TrumpForce47 at: https://t.co/rvCXifoyES. https://t.co/kSV1BpV6SG","https://x.com/realDonaldTrump/status/1828484235352821994"
"realDonaldTrump","2024-09-14T05:55:56.000Z","THANK YOU, NEVADA! #MAGA2024 https://t.co/uU5ULQVR0S","https://x.com/realDonaldTrump/status/1834833442061611327"
"realDonaldTrump","2024-08-28T02:46:03.000Z","It is DOJ policy that the Department of Justice should not take any action that will influence an election within 60 days of that election – but they just have taken such action. Voting starts on September 6th, therefore the DOJ has violated its own policy – Election Interference. All of these Comrade Kamala/Biden Hoaxes should be immediately DISMISSED!","https://x.com/realDonaldTrump/status/1828625060187218292"
"realDonaldTrump","2024-08-27T18:47:10.000Z","Thank you, @RobertKennedyJr and @TulsiGabbard! https://t.co/qgnhVOGLpX","https://x.com/realDonaldTrump/status/1828504545405870150"
"realDonaldTrump","2024-09-24T15:00:23.000Z","Trump’s Rescue Mission: Saving America is the film Kamala Harris and her allies in the biased media don’t want you to see. With an incredible cast, it dares to tell the truth about Kamala’s radical left-wing agenda. This is a must see, go to: https://t.co/jq0b6Mjlpz. https://t.co/ySoc2ny2Wt","https://x.com/realDonaldTrump/status/1838594336856117411"
"realDonaldTrump","2024-09-16T16:30:45.000Z","The Rhetoric, Lies, as exemplified by the false statements made by Comrade Kamala Harris during the rigged and highly partisan ABC Debate, and all of the ridiculous lawsuits specifically designed to inflict damage on Joe’s, then Kamala’s, Political Opponent, ME, has taken politics in our Country to a whole new level of Hatred, Abuse, and Distrust. Because of this Communist Left Rhetoric, the bullets are flying, and it will only get worse! Allowing millions of people, from places unknown, to INVADE and take over our Country, is an unpardonable sin. OUR BORDERS MUST BE CLOSED, AND THE TERRORISTS, CRIMINALS, AND MENTALLY INSANE, IMMEDIATELY REMOVED FROM AMERICAN CITIES AND TOWNS, DEPORTED BACK TO THEIR COUNTIES OF ORIGIN. WE WANT PEOPLE TO COME INTO OUR COUNTRY, BUT THEY MUST LOVE OUR NATION, AND COME IN LEGALLY AND THROUGH A SYSTEM OF MERIT. THE WORLD IS LAUGHING AT US AS FOOLS, THEY ARE STEALING OUR JOBS AND OUR WEALTH. WE CANNOT LET THEM LAUGH ANY LONGER. MAKE AMERICA GREAT AGAIN!","https://x.com/realDonaldTrump/status/1835717973069197484"
"realDonaldTrump","2024-09-01T00:44:56.000Z","Mark Schmitz, Father of Lance Corporal Jared M. Schmitz… https://t.co/pRLF9tS7Jn","https://x.com/realDonaldTrump/status/1830044131021762757"
"realDonaldTrump","2024-09-24T02:26:24.000Z","THANK YOU, PENNSYLVANIA! #MAGA2024 https://t.co/rvCXifo0Pk https://t.co/aATbt4qSoe","https://x.com/realDonaldTrump/status/1838404588321362337"
"realDonaldTrump","2024-09-05T13:57:50.000Z","https://t.co/Qy8C6EQaeY","https://x.com/realDonaldTrump/status/1831693222713716856"
"realDonaldTrump","2024-09-07T03:07:34.000Z","COMRADE KAMALA'S MIGRANT CRIME WAVE… https://t.co/OAWVcxv6tl","https://x.com/realDonaldTrump/status/1832254356747370874"
"realDonaldTrump","2024-08-23T20:52:28.000Z","#NoTaxOnTips #MAGA2024 https://t.co/1HpTsGCnmT","https://x.com/realDonaldTrump/status/1827086527371079739"
"realDonaldTrump","2024-08-25T19:51:50.000Z","If you think things are expensive now, they will get 100 times WORSE if Kamala gets four years as President. Under her plan, Kamala will implement SOVIET Style Price Controls. She will abolish private health care, and make California's ridiculous tax policies the law of the land, meaning EVERY American will be taxed up to 80% of their income! If you want more CASH and less TAX, VOTE TRUMP!!!","https://x.com/realDonaldTrump/status/1827796042760560764"
"realDonaldTrump","2024-09-01T17:48:32.000Z","https://t.co/KUzfbEIWS5","https://x.com/realDonaldTrump/status/1830301728253878499"
"realDonaldTrump","2024-08-21T14:38:26.000Z","https://t.co/VPYMFiYlMa","https://x.com/realDonaldTrump/status/1826267622952010032"
"realDonaldTrump","2024-09-01T17:06:47.000Z","https://t.co/loG02d25sM","https://x.com/realDonaldTrump/status/1830291221820170749"
"realDonaldTrump","2024-08-28T02:11:19.000Z","https://t.co/m5Wsenfgrf","https://x.com/realDonaldTrump/status/1828616319228391525"
"realDonaldTrump","2024-08-30T03:40:21.000Z","THANK YOU, WISCONSIN! #MAGA2024 @TulsiGabbard https://t.co/N4agtZ8sd6","https://x.com/realDonaldTrump/status/1829363503515185371"
"realDonaldTrump","2024-09-03T03:34:24.000Z","Join me in Harrisburg, Pennsylvania for a Town Hall with @SeanHannity this Wednesday, September 4th at 5:30PM Eastern. Get your tickets below, look forward to seeing you there! #MAGA2024 https://t.co/XSL8Ccaxgo","https://x.com/realDonaldTrump/status/1830811557120413791"
"realDonaldTrump","2024-08-31T10:57:14.000Z","Kamala Harris is the Weakest Presidential Candidate in History on Crime. She’s allowed millions of people to pour through our Borders, many from prisons, mental institutions and, indeed, terrorists, coming in at levels never seen before. What gives her the right to run for President? She got no votes to Biden’s 14 Million. She failed in her previous attempt, was the first one out of 22 people to quit, never made it to Iowa, and now she’s a Presidential Candidate? This is a Threat to Democracy!","https://x.com/realDonaldTrump/status/1829835836268929277"
"realDonaldTrump","2024-08-24T14:59:31.000Z","If you love our former First Lady as much as me, and are ready for the Truth, buy her new book now!

MELANIA provides an insightful perspective of her tenure as First Lady of the United States, highlighting our shared experiences, her entrepreneurial achievements, plus the challenges and triumphs she experienced since her childhood in Europe.
 
Pre-Order Now: https://t.co/wD4UcZucKv","https://x.com/realDonaldTrump/status/1827360091927900379"
"realDonaldTrump","2024-08-25T16:08:03.000Z","NOVEMBER 5TH WILL BE THE MOST IMPORTANT DAY IN THE HISTORY OF AMERICA!","https://x.com/realDonaldTrump/status/1827739726629024026"
"realDonaldTrump","2024-08-29T12:57:59.000Z",".@worldlibertyfi https://t.co/mwhVIzPJyq","https://x.com/realDonaldTrump/status/1829141447087648796"
"realDonaldTrump","2024-08-12T19:42:38.000Z","Join https://t.co/hkmTSuQK0K today! https://t.co/2UHVJEFasu","https://x.com/realDonaldTrump/status/1823082686040211799"
